pair_id,exposure,outcome,ancestry,exposure_source,exposure_file,outcome_source,outcome_file,outcome_phenocode,n_outcome_cases_or_N,power_status,note
P06c,Urate,Gout,AFR,CKDGen Tin 2019 trans-ethnic + Pan-UKB AFR urate 30880,data/raw/exposures/CKDGen_Tin2019/urate_chr1_22_LQ_IQ06_mac10_all_741_nstud37_summac400_rsid.txt.gz; data/raw/outcomes/PanUKB_AFR/biomarkers-30880-both_sexes-irnt.tsv.bgz,Pan-UKB AFR M13_GOUT phecode,—,M13_GOUT,Pan-UKB AFR gout cases ~50-100,POWER FLOOR FAIL,Pre-registered power floor exclusion likely — descriptive only
P07a,SBP,Ischemic stroke,EUR,ICBP+UKB Evangelou 2018,data/raw/exposures/ICBP_Evangelou2018/Evangelou_30224653_SBP.txt.gz,MEGASTROKE Malik 2018 (AIS EUR),data/raw/outcomes/MEGASTROKE_Malik2018/MEGASTROKE.2.AIS.EUR.out,—,34217 cases / 406111 ctrls,POWERED,
P07b,SBP,Ischemic stroke,EAS,DEFERRED — BBJ SBP,—,DEFERRED — BBJ stroke,—,—,—,DEFERRED,BBJ application required for both exposure and outcome
P07c,SBP,Ischemic stroke,AFR,Pan-UKB AFR SBP 4080,data/raw/outcomes/PanUKB_AFR/continuous-4080-both_sexes-irnt.tsv.bgz,DEFERRED — GBMI/MVP,—,—,—,DEFERRED,AWI-Gen 2023 sub-Saharan BP — H3Africa DAC required for the genuine continental African source
P08a,Smoking initiation,CAD,EUR,GSCAN Saunders 2022 EUR,data/raw/exposures/GSCAN_Saunders2022/EUR_stratified.zip [SmkInit],FinnGen R12,data/raw/outcomes/FinnGen_R12/finngen_R12_I9_CHD.gz,I9_CHD,56650 cases / 443698 ctrls,POWERED,SmkInit extracted from EUR_stratified.zip in Phase 2
P08b,Smoking initiation,CAD,EAS,GSCAN Saunders 2022 EAS,data/raw/exposures/GSCAN_Saunders2022/EAS_stratified.zip [SmkInit],DEFERRED — BBJ,—,—,—,DEFERRED,Behavioural-trait MR; smoking initiation instruments are culturally heterogeneous
P08c,Smoking initiation,CAD,AFR,GSCAN Saunders 2022 AFR,data/raw/exposures/GSCAN_Saunders2022/AFR_stratified.zip [SmkInit],DEFERRED — MVP/GBMI,—,—,—,DEFERRED,
P09a,Lp(a),Calcific aortic valve stenosis,EUR,Sinnott-Armstrong 2021 UKB,data/raw/exposures/SinnottArmstrong_UKB/Lipoprotein_A.imp.gz,FinnGen R12,data/raw/outcomes/FinnGen_R12/finngen_R12_I9_CAVS_OPERATED.gz,I9_CAVS_OPERATED,12418 cases / 487930 ctrls,POWERED,"FinnGen phenocode FIXED: plan said I9_AORTSTE → I9_CAVS_OPERATED (12418 cases; I9_AORTSTE absent from R12)"
P09b,Lp(a),CAVS,EAS,DEFERRED,—,DEFERRED,—,—,—,DEFERRED,No genome-wide EAS Lp(a) GWAS in our portfolio; AS in BBJ insufficient — descriptive only
P09c,Lp(a),CAVS,AFR,Pan-UKB AFR Lp(a) 30790,data/raw/outcomes/PanUKB_AFR/biomarkers-30790-both_sexes-irnt.tsv.bgz,DEFERRED — no AFR CAVS GWAS,—,—,—,POWER FLOOR FAIL,"Pan-UKB AFR is the only AFR Lp(a) source globally. AFR CAVS case count almost certainly fails 3000-floor (Pan-UKB AFR I9_CAVS_OPERATED <100 cases). Reported descriptively, excluded from primary heterogeneity test."
P10a,HbA1c,T2D,EUR,MAGIC Chen 2021 EUR,data/raw/exposures/MAGIC_Chen2021/MAGIC1000G_HbA1c_EUR.tsv.gz,FinnGen R12,data/raw/outcomes/FinnGen_R12/finngen_R12_T2D.gz,T2D,82878 cases / 403489 ctrls,POWERED,Sinnott-Armstrong HbA1c (UKB) as sensitivity exposure
P10b,HbA1c,T2D,EAS,MAGIC Chen 2021 EAS,data/raw/exposures/MAGIC_Chen2021/MAGIC1000G_HbA1c_EAS.tsv.gz,AGEN-T2D Spracklen 2020,data/raw/outcomes/AGEN_Spracklen2020/SpracklenCN_prePMID_T2D_ALL_Primary.txt.gz,—,77418 cases / 356122 ctrls,POWERED,Watch HbA1c-T2D circularity
P10c,HbA1c,T2D,AFR,MAGIC Chen 2021 AA + Pan-UKB AFR HbA1c 30750,data/raw/exposures/MAGIC_Chen2021/MAGIC1000G_HbA1c_AA.tsv.gz; data/raw/outcomes/PanUKB_AFR/biomarkers-30750-both_sexes-irnt.tsv.bgz,DEFERRED — MVP T2D AFR primary,—,—,DEFERRED,Pan-UKB AFR T2D phecode 250.2 = 796 cases (below 3000 floor)
NC1,Forearm fracture,CAD,EUR (negative control),"UK Biobank GWAS via Sinnott-Armstrong proxy or Neale Lab",pending,FinnGen R12,data/raw/outcomes/FinnGen_R12/finngen_R12_ST19_FRACT_FOREA.gz,ST19_FRACT_FOREA,—,POWERED (as exclusion test),Negative control reverses pair direction: fracture is the EXPOSURE in plan §9
